Run ID,Name,Source Type,Source Name,User,Status,estimator,estimatorParamMapsLength,evaluator,maxBins,maxDepth,mlEstimatorUid,mlModelClass,numFolds,avg_weightedPrecision,std_weightedPrecision,test_weightedPrecision
,,,,,RUNNING,,,,8,8,Pipeline_684314b261d3,Pipeline,,0.815171652,0.004496179,
,,,,,RUNNING,,,,4,8,Pipeline_684314b261d3,Pipeline,,0.816555626,0.002246293,
,,,,,RUNNING,,,,2,8,Pipeline_684314b261d3,Pipeline,,0.815847147,0.000586501,
,,,,,RUNNING,,,,8,7,Pipeline_684314b261d3,Pipeline,,0.780494286,0.002169628,
,,,,,RUNNING,,,,4,7,Pipeline_684314b261d3,Pipeline,,0.78101544,0.00397745,
,,,,,RUNNING,,,,2,7,Pipeline_684314b261d3,Pipeline,,0.77632408,0.001538704,
,,,,,RUNNING,,,,8,6,Pipeline_684314b261d3,Pipeline,,0.737960184,0.006607971,
,,,,,RUNNING,,,,4,6,Pipeline_684314b261d3,Pipeline,,0.734719345,0.005442492,
,,,,,RUNNING,,,,2,6,Pipeline_684314b261d3,Pipeline,,0.720586717,0.003469024,
,,,,,RUNNING,,,,8,5,Pipeline_684314b261d3,Pipeline,,0.698404197,0.004147836,
,,,,,RUNNING,,,,4,5,Pipeline_684314b261d3,Pipeline,,0.689625843,0.005845394,
,,,,,RUNNING,,,,2,5,Pipeline_684314b261d3,Pipeline,,0.66857276,0.005308387,
,,,,,RUNNING,,,,8,4,Pipeline_684314b261d3,Pipeline,,0.620013134,0.015273173,
,,,,,RUNNING,,,,4,4,Pipeline_684314b261d3,Pipeline,,0.637865262,0.002870116,
,,,,,RUNNING,,,,2,4,Pipeline_684314b261d3,Pipeline,,0.590484796,0.005341171,
,,,,,RUNNING,,,,8,3,Pipeline_684314b261d3,Pipeline,,0.380976451,0.032204799,
,,,,,RUNNING,,,,4,3,Pipeline_684314b261d3,Pipeline,,0.365818721,0.02996245,
,,,,,RUNNING,,,,2,3,Pipeline_684314b261d3,Pipeline,,0.387707993,0.020184763,
,,,,,RUNNING,,,,8,2,Pipeline_684314b261d3,Pipeline,,0.156861384,0.0066748,
,,,,,RUNNING,,,,4,2,Pipeline_684314b261d3,Pipeline,,0.159704334,0.008645025,
,,,,,RUNNING,,,,2,2,Pipeline_684314b261d3,Pipeline,,0.151180871,0.001071803,
,,NOTEBOOK,,,FINISHED,Pipeline,21,MulticlassClassificationEvaluator,,,CrossValidator_80978cc131cb,CrossValidator,3,,,0.826896533